stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
primary,H1,rgb,0,none,910008,1010008,True,421,dwell_complete,withheld-source-d4aabd38de5d8957e0ae
primary,H1,rgb,0,none,910009,1010009,True,513,dwell_complete,withheld-source-d4aabd38de5d8957e0ae
primary,H1,rgb,0,none,910010,1010010,True,469,dwell_complete,withheld-source-d4aabd38de5d8957e0ae
primary,H1,depth,0,none,910008,1010008,True,420,dwell_complete,withheld-source-63db2505e8362a7222bc
primary,H1,depth,0,none,910009,1010009,True,435,dwell_complete,withheld-source-63db2505e8362a7222bc
primary,H1,depth,0,none,910010,1010010,True,471,dwell_complete,withheld-source-63db2505e8362a7222bc
primary,H1,rgb,1,none,920008,1020008,True,302,dwell_complete,withheld-source-e0450682496a4cd28b35
primary,H1,rgb,1,none,920009,1020009,True,598,dwell_complete,withheld-source-e0450682496a4cd28b35
primary,H1,rgb,1,none,920010,1020010,True,342,dwell_complete,withheld-source-e0450682496a4cd28b35
primary,H1,depth,1,none,920008,1020008,True,1759,dwell_complete,withheld-source-6da607a0206796f6c08c
primary,H1,depth,1,none,920009,1020009,True,539,dwell_complete,withheld-source-6da607a0206796f6c08c
primary,H1,depth,1,none,920010,1020010,True,339,dwell_complete,withheld-source-6da607a0206796f6c08c
primary,H1,rgb,2,none,930007,1030007,True,859,dwell_complete,withheld-source-18d8025a124142eb6c39
primary,H1,rgb,2,none,930008,1030008,True,761,dwell_complete,withheld-source-18d8025a124142eb6c39
primary,H1,rgb,2,none,930009,1030009,True,497,dwell_complete,withheld-source-18d8025a124142eb6c39
primary,H1,rgb,2,none,930010,1030010,False,2000,max_steps,withheld-source-18d8025a124142eb6c39
primary,H1,rgb,2,none,930011,1030011,True,513,dwell_complete,withheld-source-18d8025a124142eb6c39
primary,H1,depth,2,none,930007,1030007,True,332,dwell_complete,withheld-source-f90ec134b6ac0fc15dc8
primary,H1,depth,2,none,930008,1030008,True,852,dwell_complete,withheld-source-f90ec134b6ac0fc15dc8
primary,H1,depth,2,none,930009,1030009,True,326,dwell_complete,withheld-source-f90ec134b6ac0fc15dc8
primary,H1,depth,2,none,930010,1030010,True,326,dwell_complete,withheld-source-f90ec134b6ac0fc15dc8
primary,H1,depth,2,none,930011,1030011,True,416,dwell_complete,withheld-source-f90ec134b6ac0fc15dc8
primary,H1,rgb,0,top,910008,1010008,True,533,dwell_complete,withheld-source-f69d0f366785fa5bf442
primary,H1,rgb,0,top,910009,1010009,True,1797,dwell_complete,withheld-source-f69d0f366785fa5bf442
primary,H1,rgb,0,top,910010,1010010,False,2000,max_steps,withheld-source-f69d0f366785fa5bf442
primary,H1,depth,0,top,910008,1010008,True,441,dwell_complete,withheld-source-61e90617833f22b55f23
