tag,kind,group,training_seed,scene_id,env_seed,policy_seed,success,reason,policy_steps,wall_s,physics_integrated_duration_s,physics_steps,physics_timestep_s,first_success_sim_time_s,post_success_requested_s,followup_complete,first_trace_sim_time_s,last_trace_sim_time_s,signed_work_5j_j,positive_work_5j_j,absolute_work_5j_j,peak_single_joint_power_w,upper_bound_simultaneous_abs_power_5j_w,exact_peak_simultaneous_abs_power_5j_w,power_peak_definition,work_window,checkpoint_sha256,summary_path,trace_path,trace_sha256,execution_host,canonical_storage_host,full_physics_torque_velocity_trace_available
record-f975db94c7cd5bd5,depth,corrected,0,fixed_phase2_geometry,970000,980000,True,threshold_and_followup,3486,1870.7270343239943,174.3,87150,0.002,172.50000000009555,2.0,True,0.20400000000000015,174.5000000001051,595.9259820558584,601.8675203269894,607.8090585981203,157.01800124314747,220.04465983242696,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-4b593c5f1785b1d69c64,withheld-source-e50d5dcfc1975aaa768d,d1722be994b1610b2a6869c8d4accea720786eaf663c76e9ab9928730c67113b,H2,H2,False
record-c07e475e1e481814,depth,corrected,0,fixed_phase2_geometry,970001,980001,False,max_steps,20000,12068.714021135995,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,1105.636626409505,1119.6596412216534,1133.6826560338004,380.26515428868555,471.8558703816454,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-74decdda93e24e91fcb7,withheld-source-f94c5273167a6c0a4bc6,dc5bc441f33103ee35422aeafd94d70f81fb2301e2fcf0c302aea6a877160f3f,H2,H2,False
record-cdd3acfefa828212,depth,corrected,0,fixed_phase2_geometry,970002,980002,True,threshold_and_followup,18089,11768.669747916007,904.412,452206,0.002,902.6099999924799,2.0,True,0.20400000000000015,904.6119999924325,1143.1740516442876,1161.4136592860075,1179.6532669277294,1184.3943864676141,1417.698269465872,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-3ad834a6c9ce302f2b53,withheld-source-29e98abedd8d4a3f1b81,242b544060949d959d947f81973b74700b0fe75d5dc1e3d735786f66fff9f1a6,H2,H2,False
record-be94ee836f30aea2,depth,corrected,0,fixed_phase2_geometry,970003,980003,False,max_steps,20000,12085.785831353991,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,1343.0844859987585,1363.1186700485937,1383.152854098427,657.8575981486022,808.1371834099989,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-316164f77f2f0e194c54,withheld-source-c202356f395b87e9adfc,e3db383ba966b5f8ae9f5aa227d47b0014b289c153130a512ddb9fff8d32707f,H2,H2,False
record-9393f168830c9e65,depth,corrected,0,fixed_phase2_geometry,970004,980004,False,max_steps,20000,11709.273914575999,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,1273.3209447093868,1292.1284841210768,1310.9360235327686,801.1844260686814,941.1104448577116,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-4117311f8b63f8968c64,withheld-source-ef86b684928b63fb297e,d1d6b4da7a1b50ad7867c9cba15eb3437e422ced547f24453ef88122969ae2ca,H2,H2,False
record-0c89dbb461741078,depth,corrected,0,fixed_phase2_geometry,970005,980005,True,threshold_and_followup,4962,2877.2739991710114,248.06,124030,0.002,246.26000000044775,2.0,True,0.20400000000000015,248.2600000004573,665.4177587965208,672.7522282881,680.0866977796774,120.06418559291123,178.11276410480122,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-f6b26b584448e1abeba0,withheld-source-b47e8fc2f5b992bca2bd,8ea92fef8e8f461d552a001bb467635f5f4743f62f676ceeaa9caad22c2cd4f7,H2,H2,False
record-ffef6e48f9135baa,depth,corrected,0,fixed_phase2_geometry,970006,980006,True,threshold_and_followup,4799,2899.7818979690055,239.92000000000002,119960,0.002,238.12000000040888,2.0,True,0.20400000000000015,240.12000000041843,638.6415662682989,648.2823390622611,657.923111856224,130.62391698152464,186.53721012105524,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-de978aee4aab638b25bb,withheld-source-e75409bcea3d5d118538,fa417caf05386fb634103ea92007bc0b9c21e6cf1237f9ad1d2fea9ac5568645,H2,H2,False
record-307343989ddde898,depth,corrected,0,fixed_phase2_geometry,970007,980007,True,threshold_and_followup,785,407.1762556419999,39.24,19620,0.002,37.43999999999979,2.0,True,0.20400000000000015,39.440000000002236,328.34038609713406,331.4390030779207,334.5376200587079,54.329893405078174,108.73893224937942,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-8b3e825ea7e18d97830c,withheld-source-2eb3cba7402ac8d8f620,87fd277980c5190c8e95aafa4a71c42fc09270fb045bc70ebca279fc1bdb6818,H2,H2,False
record-e477aa395bfac7a9,depth,corrected,0,fixed_phase2_geometry,970008,980008,True,threshold_and_followup,5173,2986.411334908975,258.612,129306,0.002,256.81200000049813,2.0,True,0.20400000000000015,258.8120000005077,1094.0010343606925,1112.1013275914459,1130.2016208221999,957.9987390187677,1115.1693874083812,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-d7b4a98a388789bcbf30,withheld-source-8482616edb7651668b8a,d596a76fd61ed4642d3330cbbde6281fb53a259488767be28ecfe699f2bf1aec,H2,H2,False
record-95d861be5b8be43f,depth,corrected,0,fixed_phase2_geometry,970009,980009,False,max_steps,20000,8153.778807327617,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,1214.0337273940142,1232.1433906876778,1250.253053981338,621.215406142284,734.0570564568283,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,d7aa7b03d58af938d95ecc19a4ff2c4468520ab174d1f5f105ccae919f9d1638,withheld-source-9f4d87294bcb6baf4635,withheld-source-0cf7634a9beb209baf1c,5fd67d91f7866e03f0723075a96da4601a0907e0a26aa9fe07f6b6094f06d87f,H1,H2,False
record-781daaceb8d2d107,rgb,corrected,0,fixed_phase2_geometry,970000,980000,False,max_steps,20000,11572.134372853998,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,660.0463741748972,680.5492359395611,701.0520977042139,666.4318340660075,802.3212766789659,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-77500228b325c1c974ee,withheld-source-def66a13fbdf9576a25a,e3a14fb2d65c314e38afffc61e39c505476734dd9ee763f2f3044eb5bccccc6f,H2,H2,False
record-e45d079c76b82f78,rgb,corrected,0,fixed_phase2_geometry,970001,980001,False,max_steps,20000,12396.422324977,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,775.7009572928944,792.8056673394428,809.9103773859945,199.01810748779405,256.3272738437127,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-ced08464c4458b97c49b,withheld-source-d43ec1d59107943117b0,b496e5984ea526943c2e0a5cc558943c153a0d207108798db23fd3653cb02cc7,H2,H2,False
record-432695a066994534,rgb,corrected,0,fixed_phase2_geometry,970002,980002,False,max_steps,20000,12306.000772775995,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,817.0247826984453,835.615677753103,854.2065728077673,151.7246398526488,214.20790063922212,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-46348b5ffbf60d03e8b4,withheld-source-4a8abe6290fcfef0bc83,c7f760cafc4d3ab25cbbc7cc97e0c9abc3347b00a9fed750126aefc99b425fb5,H2,H2,False
record-2369620f3ccc9b41,rgb,corrected,0,fixed_phase2_geometry,970003,980003,False,max_steps,20000,12598.71201868399,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,602.5827172358061,621.8679892303147,641.1532612248209,522.2818089677351,618.3261092464521,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-0cab63b2d44caba6e798,withheld-source-f24c39be95d150d7868b,a4f5d4e2059528e46566c8704255b46c40c3c377e29c3e4be3864240a5282900,H2,H2,False
record-1de1847a13a5d0d4,rgb,corrected,0,fixed_phase2_geometry,970004,980004,False,max_steps,20000,12265.907433003013,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,852.2808543083356,869.5975849163353,886.9143155243349,232.00923389097275,290.35863837799764,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-ffed3016fbec7f25ba35,withheld-source-f04616194af3b70635cf,6c22d09a95ae1ca75bdcfa471371609916d6934e9c14767f4376ea2f00090b4f,H2,H2,False
record-3ba4cb42eb2bdfdb,rgb,corrected,0,fixed_phase2_geometry,970005,980005,False,max_steps,20000,12133.31290204599,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,1684.601809898981,1710.947509862391,1737.2932098257947,654.2183964762423,773.6979596413247,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-801bd941c52fc6de0a50,withheld-source-0bef56bd3ecd5a514080,fa47720e24deb66b01c62ee05962d274b84ef10852ad439a5915b31c4f7a7c53,H2,H2,False
record-762cb3a7bbdf8612,rgb,corrected,0,fixed_phase2_geometry,970006,980006,False,max_steps,20000,11498.29447604499,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,755.8324494911707,774.2227975453383,792.6131455995104,399.36095361452703,479.5703299974195,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-0119ac961d313259e84d,withheld-source-b97cbaf60b8c11dd22bf,8836304d9d5bdf8249b427f0f2b4fd714580b8f555b67ef9e4686a46ed0e189a,H2,H2,False
record-ea7d994da44cebd1,rgb,corrected,0,fixed_phase2_geometry,970007,980007,False,max_steps,20000,11981.171466554006,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,803.0966840618629,817.1005028998784,831.1043217378954,504.7568810198534,599.6769142653598,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-774514131cd67bc15981,withheld-source-7f36399d0f7cda41204e,342c8a0fba2819082014809434848c2f1662294257d9bab9d2677b165ebcf415,H2,H2,False
record-86d667355fbc8ddf,rgb,corrected,0,fixed_phase2_geometry,970008,980008,False,max_steps,20000,11335.806491866999,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,1386.3342044065737,1407.952787170344,1429.571369934115,2223.423859099295,2637.361850714241,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-9a5a4fd58db6b6cc9e30,withheld-source-2175e0e4e295ff16aa81,5863049c39a481b65438ca15c9454dab2ab1f7f01673f5bc1d6c9f0e7200e94c,H2,H2,False
record-d4203a7413cfb6e5,rgb,corrected,0,fixed_phase2_geometry,970009,980009,False,max_steps,20000,9959.504923847038,1000.0020000000001,500001,0.002,,2.0,False,0.20400000000000015,1000.2019999901721,935.6976519017161,960.8890259999737,986.0804000982362,1667.247818162076,1982.6546209556177,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,5d148da06db54f24c7af5a5d3000296c6ab80e06375111491cde93ae6f0a553b,withheld-source-2ee2ab83fe958f329a59,withheld-source-71ab1aa53129dfc2b3b9,1653c65af1c6ede322491f79312beb878c3efeaa72ee8985fee0218797bc1413,H1,H2,False
record-146c5571357dca3e,depth,legacy,unknown_legacy,fixed_phase2_geometry,960000,970000,True,threshold_and_followup,1035,508.41603250999833,51.708,25854,0.002,49.90800000001503,2.0,True,0.20400000000000015,51.90800000001747,425.10015171657506,429.8234609257167,434.54677013485843,89.25874519656288,147.77138693758104,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,58e257acf18d208b80eca9ea3ca111c68cc1ebc8060cd8f89ddf71e0a01c882a,withheld-source-7593e058f9f278ab1151,withheld-source-839f352982ae55b4b183,d3e94abd1a7a97c00660a0dd4e325cb129fd397af2a7d395dc3c368236b26ce6,H2,H2,False
record-f46b0c31bf385fbd,depth,legacy,unknown_legacy,fixed_phase2_geometry,960001,970001,True,threshold_and_followup,871,424.8566939600023,43.52,21760,0.002,41.72000000000502,2.0,True,0.20400000000000015,43.72000000000747,375.46156996072676,379.0624242777217,382.66327859471687,71.02093267073545,123.86758246056147,,max over joints and time abs(tau_j*omega_j); NOT simultaneous sum peak,entire observed episode including followup when successful,58e257acf18d208b80eca9ea3ca111c68cc1ebc8060cd8f89ddf71e0a01c882a,withheld-source-2315dc0974e326697723,withheld-source-05565479dbf404866ecc,aa827db2de985f1a9c6d98fbef62aa7ecd5fd53de2210ddfd7fcbb564a245410,H2,H2,False
